/cm/local/apps/slurm/var/spool/job851027/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 229, Total Reward: 0.0, Epsilon: 0.9887874999999904
Episode 230, Total Reward: 0.0, Epsilon: 0.9887387499999903
Episode 231, Total Reward: 6.0, Epsilon: 0.9886899999999903
Episode 232, Total Reward: 0.0, Epsilon: 0.9886412499999903
Episode 233, Total Reward: 0.0, Epsilon: 0.9885924999999902
Episode 234, Total Reward: 6.0, Epsilon: 0.9885437499999902
Episode 235, Total Reward: 0.0, Epsilon: 0.9884949999999901
Episode 236, Total Reward: 0.0, Epsilon: 0.9884462499999901
Episode 237, Total Reward: 6.0, Epsilon: 0.98839749999999
Episode 238, Total Reward: 0.0, Epsilon: 0.98834874999999
Episode 239, Total Reward: 0.0, Epsilon: 0.98829999999999
Episode 240, Total Reward: 6.0, Epsilon: 0.9882512499999899
Episode 241, Total Reward: 0.0, Epsilon: 0.9882024999999899
Episode 242, Total Reward: 0.0, Epsilon: 0.9881537499999898
Episode 243, Total Reward: 6.0, Epsilon: 0.9881049999999898
Episode 244, Total Reward: 0.0, Epsilon: 0.9880562499999898
Episode 245, Total Reward: 0.0, Epsilon: 0.9880074999999897
Episode 246, Total Reward: 6.0, Epsilon: 0.9879587499999897
Episode 247, Total Reward: 0.0, Epsilon: 0.9879099999999896
Episode 248, Total Reward: 0.0, Epsilon: 0.9878612499999896
Episode 249, Total Reward: 6.0, Epsilon: 0.9878124999999895
Episode 250, Total Reward: 0.0, Epsilon: 0.9877637499999895
Episode 251, Total Reward: 0.0, Epsilon: 0.9877149999999895
Episode 252, Total Reward: 6.0, Epsilon: 0.9876662499999894
Episode 253, Total Reward: 0.0, Epsilon: 0.9876174999999894
Episode 254, Total Reward: 0.0, Epsilon: 0.9875687499999893
Episode 255, Total Reward: 6.0, Epsilon: 0.9875199999999893
Episode 256, Total Reward: 0.0, Epsilon: 0.9874712499999893
Episode 257, Total Reward: 0.0, Epsilon: 0.9874224999999892
Episode 258, Total Reward: 6.0, Epsilon: 0.9873737499999892
Episode 259, Total Reward: 0.0, Epsilon: 0.9873249999999891
Episode 260, Total Reward: 0.0, Epsilon: 0.9872762499999891
Episode 261, Total Reward: 6.0, Epsilon: 0.987227499999989
Episode 262, Total Reward: 0.0, Epsilon: 0.987178749999989
Episode 263, Total Reward: 0.0, Epsilon: 0.987129999999989
Episode 264, Total Reward: 6.0, Epsilon: 0.9870812499999889
Episode 265, Total Reward: 0.0, Epsilon: 0.9870324999999889
Episode 266, Total Reward: 0.0, Epsilon: 0.9869837499999888
Episode 267, Total Reward: 6.0, Epsilon: 0.9869349999999888
Episode 268, Total Reward: 0.0, Epsilon: 0.9868862499999888
Episode 269, Total Reward: 0.0, Epsilon: 0.9868374999999887
Episode 270, Total Reward: 6.0, Epsilon: 0.9867887499999887
Episode 271, Total Reward: 0.0, Epsilon: 0.9867399999999886
Episode 272, Total Reward: 0.0, Epsilon: 0.9866912499999886
Episode 273, Total Reward: 6.0, Epsilon: 0.9866424999999885
Episode 274, Total Reward: 0.0, Epsilon: 0.9865937499999885
Episode 275, Total Reward: 0.0, Epsilon: 0.9865449999999885
Episode 276, Total Reward: 6.0, Epsilon: 0.9864962499999884
Episode 277, Total Reward: 0.0, Epsilon: 0.9864474999999884
Episode 278, Total Reward: 0.0, Epsilon: 0.9863987499999883
Episode 279, Total Reward: 6.0, Epsilon: 0.9863499999999883
Episode 280, Total Reward: 0.0, Epsilon: 0.9863012499999882
Episode 281, Total Reward: 0.0, Epsilon: 0.9862524999999882
Episode 282, Total Reward: 6.0, Epsilon: 0.9862037499999882
Episode 283, Total Reward: 0.0, Epsilon: 0.9861549999999881
Episode 284, Total Reward: 0.0, Epsilon: 0.9861062499999881
Episode 285, Total Reward: 6.0, Epsilon: 0.986057499999988
Episode 286, Total Reward: 0.0, Epsilon: 0.986008749999988
Episode 287, Total Reward: 0.0, Epsilon: 0.985959999999988
Episode 288, Total Reward: 6.0, Epsilon: 0.9859112499999879
Episode 289, Total Reward: 0.0, Epsilon: 0.9858624999999879
Episode 290, Total Reward: 0.0, Epsilon: 0.9858137499999878
Episode 291, Total Reward: 6.0, Epsilon: 0.9857649999999878
Episode 292, Total Reward: 0.0, Epsilon: 0.9857162499999877
Episode 293, Total Reward: 0.0, Epsilon: 0.9856674999999877
Episode 294, Total Reward: 6.0, Epsilon: 0.9856187499999877
Episode 295, Total Reward: 0.0, Epsilon: 0.9855699999999876
Episode 296, Total Reward: 0.0, Epsilon: 0.9855212499999876
Episode 297, Total Reward: 6.0, Epsilon: 0.9854724999999875
Episode 298, Total Reward: 0.0, Epsilon: 0.9854237499999875
Episode 299, Total Reward: 0.0, Epsilon: 0.9853749999999875
Episode 300, Total Reward: 6.0, Epsilon: 0.9853262499999874
Episode 301, Total Reward: 0.0, Epsilon: 0.9852774999999874
Episode 302, Total Reward: 0.0, Epsilon: 0.9852287499999873
Episode 303, Total Reward: 6.0, Epsilon: 0.9851799999999873
Episode 304, Total Reward: 0.0, Epsilon: 0.9851312499999872
Episode 305, Total Reward: 0.0, Epsilon: 0.9850824999999872
Episode 306, Total Reward: 6.0, Epsilon: 0.9850337499999872
Episode 307, Total Reward: 0.0, Epsilon: 0.9849849999999871
Episode 308, Total Reward: 0.0, Epsilon: 0.9849362499999871
Episode 309, Total Reward: 6.0, Epsilon: 0.984887499999987
Episode 310, Total Reward: 0.0, Epsilon: 0.984838749999987
Episode 311, Total Reward: 0.0, Epsilon: 0.984789999999987
Episode 312, Total Reward: 6.0, Epsilon: 0.9847412499999869
Episode 313, Total Reward: 0.0, Epsilon: 0.9846924999999869
Episode 314, Total Reward: 0.0, Epsilon: 0.9846437499999868
Episode 315, Total Reward: 6.0, Epsilon: 0.9845949999999868
Episode 316, Total Reward: 0.0, Epsilon: 0.9845462499999867
