/home/rsaadatifard/anaconda/envs/envRL/lib/python3.8/site-packages/google/protobuf/internal/api_implementation.py:87: UserWarning: Selected implementation cpp is not available.
  warnings.warn(
python version: 3.8.20 (default, Oct  3 2024, 15:24:27) 
[GCC 11.2.0]'
GPU available: True
running on cuda


----------------------------------------------
INFO:
----------------------------------------------
GAME: roms/ms_pacman.bin
DEVICE: cuda
NAME: FRANKbootstrap_fasteranneal_pong
DUELING: False
DOUBLE_DQN: True
PRIOR: True
PRIOR_SCALE: 1
N_ENSEMBLE: 1
LEARN_EVERY_STEPS: 4
BERNOULLI_PROBABILITY: 1.0
TARGET_UPDATE: 10000
MIN_HISTORY_TO_LEARN: 50000
NORM_BY: 255.0
EPS_INITIAL: 1.0
EPS_FINAL: 0.01
EPS_EVAL: 0.0
EPS_ANNEALING_FRAMES: 1000000
EPS_FINAL_FRAME: 0.01
NUM_EVAL_EPISODES: 5
BUFFER_SIZE: 1000000
CHECKPOINT_EVERY_STEPS: 10000000
EVAL_FREQUENCY: 250000
ADAM_LEARNING_RATE: 6.25e-05
RMS_LEARNING_RATE: 0.00025
RMS_DECAY: 0.95
RMS_MOMENTUM: 0.0
RMS_EPSILON: 1e-05
RMS_CENTERED: True
HISTORY_SIZE: 4
N_EPOCHS: 90000
BATCH_SIZE: 32
GAMMA: 0.99
PLOT_EVERY_EPISODES: 50
CLIP_GRAD: 5
SEED: 101
RANDOM_HEAD: -1
NETWORK_INPUT_SIZE: (84, 84)
START_TIME: 1733400504.4129055
MAX_STEPS: 200000
MAX_EPISODE_STEPS: 27000
FRAME_SKIP: 4
MAX_NO_OP_FRAMES: 30
DEAD_AS_END: True
IMPROVEMENT: ['swin', '']
----------------------------------------------


----------------------------------------------
starting NEW project: model_savedir/ms_pacman08
Training Progress:   0%|          | 0/200000 [00:00<?, ?step/s]step : 0
Step: 50892, Avg Reward (last 30): 231.67, Loss: 0.0315
Step: 50896, Avg Reward (last 30): 231.67, Loss: 0.0319
Step: 50900, Avg Reward (last 30): 231.67, Loss: 0.0324
Step: 50904, Avg Reward (last 30): 231.67, Loss: 0.0329
Step: 50908, Avg Reward (last 30): 231.67, Loss: 0.0329
Step: 50912, Avg Reward (last 30): 231.67, Loss: 0.0327
Step: 50916, Avg Reward (last 30): 231.67, Loss: 0.0325
Step: 50920, Avg Reward (last 30): 231.67, Loss: 0.0324
Step: 50924, Avg Reward (last 30): 231.67, Loss: 0.0322
Step: 50928, Avg Reward (last 30): 231.67, Loss: 0.0326
Step: 50932, Avg Reward (last 30): 231.67, Loss: 0.0332
Step: 50936, Avg Reward (last 30): 231.67, Loss: 0.0330
Step: 50940, Avg Reward (last 30): 231.67, Loss: 0.0328
Step: 50944, Avg Reward (last 30): 231.67, Loss: 0.0326
Step: 50948, Avg Reward (last 30): 231.67, Loss: 0.0321
Step: 50952, Avg Reward (last 30): 231.67, Loss: 0.0316
Step: 50956, Avg Reward (last 30): 231.67, Loss: 0.0314
Step: 50960, Avg Reward (last 30): 231.67, Loss: 0.0318
Step: 50964, Avg Reward (last 30): 231.67, Loss: 0.0324
Step: 50968, Avg Reward (last 30): 231.67, Loss: 0.0325
Step: 50972, Avg Reward (last 30): 231.67, Loss: 0.0325
Step: 50976, Avg Reward (last 30): 231.67, Loss: 0.0330
Step: 50980, Avg Reward (last 30): 231.67, Loss: 0.0331
Step: 50984, Avg Reward (last 30): 231.67, Loss: 0.0337
Step: 50988, Avg Reward (last 30): 231.67, Loss: 0.0339
Step: 50992, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 50996, Avg Reward (last 30): 231.67, Loss: 0.0344
Step: 51000, Avg Reward (last 30): 231.67, Loss: 0.0349
